DOI,URL,Sentence(s)
10.1016/j.neuroimage.2022.119360,https://nda.nih.gov/general-query.html?q=query=featured-datasets:HCP%20Aging%20and%20Development,"""The raw HCD and HCA data are available in the NDA (https://nda.nih.gov/general-query.html?q=query=featured-datasets:HCP%20Aging%20and%20Development)."""
10.1016/j.neuroimage.2022.119360,https://github.com/Washington-University/HCPpipelines,"""The code will be made available as a part of the HCP Pipelines (https://github.com/Washington-University/HCPpipelines) when the various analysis streams presented here (currently existing as 3 separate pipelines) are integrated into a single multi-functional pipeline to make this approach easier for users to use."""
10.1016/j.neuroimage.2022.119742,https://db.humanconnectome.org,"""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000607.v3.p2)."", ""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/ cgi-bin/study.cgi?study_id=phs000607.v3.p2)."""
10.1016/j.neuroimage.2022.119742,http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html,"""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000607.v3.p2)."", ""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/ cgi-bin/study.cgi?study_id=phs000607.v3.p2)."""
10.1016/j.neuroimage.2022.119742,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000607.v3.p2,"""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000607.v3.p2)."", ""The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/ sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/ cgi-bin/study.cgi?study_id=phs000607.v3.p2)."""
10.1016/j.neuroimage.2022.119742,http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html,"""The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html."", ""The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/12yale_hires.html."""
10.1016/j.neuroimage.2022.119742,https://www.nitrc.org/projects/bioimagesuite/,"""Code used for node-centric and edge-centric network construction can be found at https://www.nitrc.org/projects/bioimagesuite/."", ""Code used for node-centric and edge-centric network construction can be found at https://www.nitrc.org/projects/bioimagesuite/."""
10.1016/j.neuroimage.2022.119742,https://github.com/SNeuroble/NBS_benchmarking,"""Code used for bench-marking, inference, and summarization/reorganization by atlas is available here: https://github.com/SNeuroble/NBS_benchmarking."", ""Code used for bench- marking, inference, and summarization/reorganization by atlas is available here: https://github.com/SNeuroble/NBS_benchmarking."""
10.1016/j.neuroimage.2022.119294,https://github.com/ViCCo-Group/frrsa,"""To facilitate future use of this method, we provide a toolbox to run FR-RSA in Python (https://github.com/ViCCo-Group/frrsa), with recommenda- tions regarding implementational choices."""
10.1016/j.neuroimage.2022.119294,https://osf.io/8weum/,"""All result files and analysis scripts pertaining to this study are available via an OSF repos-itory (https://osf.io/8weum/)."""
10.1016/j.neuroimage.2022.119294,https://github.com/ViCCo-Group/frrsa,"""The toolbox to run FR-RSA in Python is available via GitHub (https://github.com/ViCCo-Group/frrsa)."", ""In addition to broadly validating feature-reweighting and exploring a novel use case of it, we also provide an implementation of FR-RSA in Python (https://github.com/ViCCo-Group/frrsa). "
10.1016/j.neuroimage.2022.118992,,
10.1016/j.neuroimage.2022.119077,https://www.neurobs.com/,"""The stimuli were presented us-ing NBS Presentation software (https://www.neurobs.com/)."""
10.1016/j.neuroimage.2022.119077,http://neuroimage.usc.edu/brainstorm,"""Brainstorm is documented and freely available for download under GNU general public license (http://neuroimage.usc.edu/brainstorm)."""
10.1016/j.neuroimage.2022.119077,https://neuroimage.usc.edu/brainstorm/Introduction,"""The analysis was performed in MATLAB using Brainstorm toolbox https://neuroimage.usc.edu/brainstorm/Introduction and Brain Con-nectivity toolbox https://sites.google.com/site/bctnet/home."""
10.1016/j.neuroimage.2022.119077,https://sites.google.com/site/bctnet/home,"""The analysis was performed in MATLAB using Brainstorm toolbox https://neuroimage.usc.edu/brainstorm/Introduction and Brain Con-nectivity toolbox https://sites.google.com/site/bctnet/home."""
10.1016/j.neuroimage.2021.118868,https://github.com/vistalab/vistasoft,"""Pre-processed functional data were then analyzed in the vistasoft software (https://github.com/vistalab/vistasoft)."""
10.1016/j.neuroimage.2022.118960,,
10.1016/j.neuroimage.2022.119769,http://surfer.nmr.mgh.harvard.edu,"""The resulting map was registered to Talairach space and visualized using FreeSurfer (version 6.0, http://surfer.nmr.mgh.harvard.edu)."""
10.1016/j.neuroimage.2022.119769,https://github.com/brainneuro/Multi-Face-attribution,"""Python and matlab codes for training the CNN models and analysis are available at https://github.com/brainneuro/Multi-Face-attribution."""
10.1016/j.neuroimage.2022.119048,,
10.1016/j.neuroimage.2022.119199,https://civmvoxport.vm.duke.edu,"""The diffusion MRI met-rics are available from: https://civmvoxport.vm.duke.edu upon request."", ""The FA, DWI, MD, AD, RD, and NQA maps at dMRI datasets are available through https://civmvoxport.vm.duke.edu upon request."""
10.1016/j.neuroimage.2022.119199,https://www.mrtrix.org/,"""To validate the fiber orientation distribution at each voxel for the brain, the constrained spherical deconvolution (CSD) method provided by MR-Trix3 (https://www.mrtrix.org/) was also performed with a maximum harmonic order of 6."""
10.1016/j.neuroimage.2022.119199,https://connectivity.brain-map.org/,"""The tracer injection and projection density images were downloaded from AMBA (25 μm resolution) (https://connectivity.brain-map.org/) and converted to NIFTI format."""
