URL;IsAccessible;manualAccess;Note;Link that works;
github.com/delislab;True;;;;
github.com/delshadv;True;;;;
github.com/delshadv/mri_meg_combination;True;;;;
github.com/frdarya/learningrate;True;;;;
github.com/hhonar/mdapproach_ps.git;True;;;;
github.com/honglabthu/mi-bci;True;;;;
github.com/jbrown81/gradients;True;;;;
github.com/jessie-mosso/dwmrs-mppca;True;;;;
github.com/mathesong/simba_materials;True;;;;
github.com/miclab-unicamp/hypast;True;;;;
github.com/netneurolab/hansen_gene-receptor;True;;;;
github.com/neuroa;True;;;;
github.com/nichalas;True;;;;
github.com/plus-microstate/toolbox;True;;;;
github.com/quantitative-mri-and-in-vivo-histology/ls_axon_segmentation;True;;;;
github.com/raj-lab-ucsf;True;;;;
github.com/raj-lab-ucsf/spectrome-revisited;True;;;;
github.com/rhyang2021/data-code4tvgcsdn;True;;;;
github.com/ruikechen/fetal-brain-dmri-atlas;True;;;;
github.com/sunlianglong/structural-insight-into-individual-functional-variability;True;;;;
github.com/thomasyeolab/cbig;True;;;;
github.com/thomasyeolab/ooi2022_mmp_hcp;True;;;;
gwas.mrcieu.ac.uk;True;;;;
habs.mgh.harvard.edu;True;;;;
hdl.handle.net/11633/di.dccn.dsc_3011020.09_236;True;;;;
headit.ucsd.edu;True;;;;
human.brain-map.org;True;;;;
human.brain-map.org/static/download;True;;;;
humanconnectome.org;True;;;;
humanconnectome.org/data;True;;;;
humanconnectome.org/disease-studies;True;;;;
humanconnectome.org/study/hcp-lifespan-aging/data-releases;True;;;;
humanconnectome.org/study/hcp-young-adult;True;;;;
humanconnectome.org/study/hcp-young-adult/data-releases;True;;;;
humanconnectome.org/study/hcp-young-adult/data-use-terms;True;;;;
humanconnectome.org/study/hcp-young-adult/document/1200-subjects-data-release;True;;;;
humanconnectome.org/study/hcp-young-adult/document/500-subjects-data-release;True;;;;
humanconnectome.org/study/hcp-young-adult/document/extensively-processed-fmri-data-documentation;True;;;;
ida.loni.usc.edu;True;;;;
ida.loni.usc.edu/login.jsp;True;;;;
ideas-study.org/original-study;True;;;;
ideas-study.org/original-study/data-request;True;;;;
ieeg.org;True;;;;
kaggle.com/competitions/eeg-biometric-competition;True;;;;
kaggle.com/competitions/eeg-biometric-competition/data;True;;;;
kg.ebrains.eu;True;;;;
knightadrc.wustl.edu/research/resourcerequest.htm;True;;;;
litteratureaudio.com;True;;;;
loni.usc.edu;True;;;;
macc.sg;True;;;;
marmosetbrainconnectome.org;True;;;;
marmosetbrainconnectome.org/download.html;True;;;;
massive-data.org;True;;;;
mcgill.ca/bic/resources/omega;True;;;;
meguk.ac.uk/contact;True;;;;
memory.psych.upenn.edu/data;True;;;;
mlsp.umbc.edu/simulated_fmri_data.html;True;;;;
mne.tools;True;;;;
mouse.brain-map.org/agea;True;;;;
mrc-cbu.cam.ac.uk/datasets/camcan;True;;;;
mrc.ukri.org/research/policies-and-guidance-for-researchers/data-sharing;True;;;;
mrshub.org;True;;;;
naturalscenesdataset.org;True;;;;
ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id;True;;;;
nda.nih.gov;True;;;;
nda.nih.gov/abcd;True;;;;
nda.nih.gov/ccf/lifespan-studies;True;;;;
nda.nih.gov/edit_collection.html?id;True;;;;
nda.nih.gov/general-query.html?q;True;;;;
neuromorpho.org;True;;;;
neurostars.org/t/multi-echo-anatomical-mri-bids-questions/17157;True;;;;
neurosynth.org;True;;;;
neurovault.org;True;;;;
neurovault.org/collections/11009;True;;;;
neurovault.org/collections/12205;True;;;;
neurovault.org/collections/1952;True;;;;
neurovault.org/collections/5879;True;;;;
neurovault.org/collections/9212;True;;;;
neurovault.org/images/1401;True;;;;
nihtoolbox.org;True;;;;
nist.gov/programs-projects/quantitative-mri;True;;;;
nitrc.org/projects/biggaba;True;;;;
nitrc.org/projects/mcalt;True;;;;
nitrc.org/projects/sigma_template;True;;;;
nitrc.org/projects/tmbta_2019;True;;;;
oasis-brains.org;True;;;;
openfmri.org/dataset/ds000030;True;;;;
openfmri.org/dataset/ds000117;True;;;;
openfmri.org/dataset/ds000224;True;;;;
openneuro.org;True;;;;
openneuro.org/datasets/ds000030;True;;;;
openneuro.org/datasets/ds000117;True;;;;
openneuro.org/datasets/ds000224/versions/00002;True;;;;
openneuro.org/datasets/ds000224/versions/1.0.3;True;;;;
openneuro.org/datasets/ds003059/versions/1.0.0;True;;;;
openneuro.org/datasets/ds003171/versions/1.0.0;True;;;;
openneuro.org/datasets/ds003401/versions/1.0.1;True;;;;
openneuro.org/datasets/ds003673;True;;;;
openneuro.org/datasets/ds003745;True;;;;
openneuro.org/datasets/ds003959/versions/1.0.1;True;;;;
openneuro.org/datasets/ds004033;True;;;;
openneuro.org/datasets/ds004056;True;;;;
openneuro.org/datasets/ds004097;True;;;;
osf.io;True;;;;
osf.io/2vw6j;True;;;;
osf.io/3s89p;True;;;;
osf.io/4q3tz;True;;;;
osf.io/4rmex/?view_only;True;;;;
osf.io/5fmpk/?view_only;True;;;;
osf.io/5mqpb;True;;;;
osf.io/67wpg;True;;;;
osf.io/6jm2r;True;;;;
osf.io/6waj9/?view_only;True;;;;
osf.io/6ykqh;True;;;;
osf.io/72ebd;True;;;;
osf.io/72w38;True;;;;
osf.io/7kqvh;True;;;;
osf.io/8nbd4;True;;;;
osf.io/8qfw4/?view_only;True;;;;
osf.io/8zctp;True;;;;
osf.io/9q4rp/?;True;;;;
osf.io/9q4rp/?view_only;True;;;;
osf.io/a2cqh;True;;;;
osf.io/amsk2/?view_only;True;;;;
osf.io/b4qkp;True;;;;
osf.io/b8pfa/?view_only;True;;;;
osf.io/bjna4;True;;;;
osf.io/bkn64;True;;;;
osf.io/bndjg;True;;;;
osf.io/c4gv6;True;;;;
osf.io/c8sxh;True;;;;
osf.io/cma6p;True;;;;
osf.io/cx8a9;True;;;;
osf.io/d3nkc;True;;;;
osf.io/db9u4;True;;;;
osf.io/ecvq8;True;;;;
osf.io/eucqf;True;;;;
osf.io/eufd6;True;;;;
osf.io/fm7cq/?view_only;True;;;;
osf.io/fsqaj;True;;;;
osf.io/g3wkq;True;;;;
osf.io/gazx2;True;;;;
osf.io/hvknp;True;;;;
osf.io/jkcys;True;;;;
osf.io/k3xce;True;;;;
osf.io/kuxqt;True;;;;
osf.io/m3p7t;True;;;;
osf.io/mv47n;True;;;;
osf.io/mx49d;True;;;;
osf.io/n2cez;True;;;;
osf.io/nhtur;True;;;;
osf.io/pcvt5;True;;;;
osf.io/psv5m;True;;;;
osf.io/q9s5k;True;;;;
osf.io/qgdn9/declaration;True;;;;
osf.io/rmhpe;True;;;;
osf.io/s4ydx;True;;;;
osf.io/snq2d;True;;;;
osf.io/tk3mr;True;;;;
osf.io/tsz47;True;;;;
osf.io/u7sbf;True;;;;
osf.io/v9px7;True;;;;
osf.io/vybwm;True;;;;
osf.io/w9vte;True;;;;
osf.io/wh4ua;True;;;;
osf.io/y3k5f;True;;;;
osf.io/y6kmg;True;;;;
osf.io/y6rc3;True;;;;
osf.io/yfms7;True;;;;
osf.io/yzhbk;True;;;;
osf.io/z83mw/?view_only;True;;;;
osf.io/zaef2;True;;;;
osf.io/zcahs;True;;;;
osf.io/zp6kv;True;;;;
paris-saclay-cds.github.io/autism_challenge;True;;;;
phi-group.top/resources.html;True;;;;
photo-ac.com;True;;;;
portal.dementiasplatform.uk/analysedata/analysisenvironment;True;;;;
portal.dementiasplatform.uk/apply;True;;;;
portal.nersc.gov/project/crcns/download/v1v2-1;True;;;;
ppmi-info.org;True;;;;
protocols.humanconnectome.org/hcp/7t;True;;;;
qmenta.com/irontract-challenge;True;;;;
radc.rush.edu;True;;;;
registry.opendata.aws/hcp-openaccess;True;;;;
repository.cam.ac.uk/handle/1810/252736;True;;;;
search.kg.ebrains.eu;True;;;;
search.kg.ebrains.eu/instances/cd4c0231-f9d6-4964-9763-54347029dd00;True;;;;
sites.google.com/view/calgary-campinas-dataset/hypothalamus-benchmark;True;;;;
sites.google.com/view/pinstudy;True;;;;
sleepdata.org;True;;;;
surfer.nmr.mgh.harvard.edu;True;;;;
synapse.org;True;;;;
things-initiative.org;True;;;;
tinyurl.com/pereiraneuroimage;True;;;;
ukbiobank.ac.uk;True;;;;
ukserp.ac.uk;True;;;;
unicore.eu;True;;;;
uniklinikum-leipzig.de/einrichtungen/life;True;;;;
userpage.fu-berlin.de/rmcichy/fusion_project_page/main.html;True;;;;
wiki.humanconnectome.org/display/publicdata/how+to+connect+to+connectome+data+via+aws;True;;;;
zenodo.org;True;;;;
zenodo.org/record/5053234;True;;;;
