DOI,Section,Matched_pattern,Start_pattern,End_pattern
10.1016/j.neuroimage.2022.119747,"Data availability  
The data and code presented  here are available  upon request  to the 
corresponding  author.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(39824, 39845), match='  \nData availability '>","<re.Match object; span=(116, 135), match='  \nAcknowledgments '>"
10.1016/j.neuroimage.2022.118931,"Data availability  
The Matlab code for the proposed  vein segmentation  algorithm  
is available  on github: https://github.com/SinaStraub/GRE  _ vessel _ 
seg.git and example  data on Zenodo.org:  https://doi.org/10.  
5281/zenodo.5791233  
The used data can be shared with other researchers  upon reasonable  
request.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(44812, 44833), match='  \nData availability '>","<re.Match object; span=(324, 352), match='  \nSupplementary  materials '>"
10.1016/j.neuroimage.2022.119447,"2.1. Participants  
Thirty-ﬁve  people (20 female,  15 male, aged 18-36 years, M = 24.7, 
SD = 4.8) participated  in this experiment.  Participants  were right- handed,  ﬂuent in English  and had normal  or corrected-to-normal  vision. 
Four participants  were excluded  due to near-chance  task performance  
(i.e., accuracy  below 55% for any of the three stimulus  discriminability  
conditions).  One additional  participant  was excluded  due to excessively  
noisy EEG data. One participant  was excluded  because  they were un- 
able to complete  the task, leaving  29 participants  for both behavioural  
and EEG data analyses  (17 female,  12 male, aged 18-36 years, M = 25.0, 
SD = 4.9). This study was approved  by the Human  Research  Ethics Com- 
mittee of the Melbourne  School of Psychological  Sciences  (ID 1750871).",\n?2\.1\.,"<re.Match object; span=(17928, 17933), match='\n2.1.'>","<re.Match object; span=(836, 842), match='\n2.2. '>"
10.1016/j.neuroimage.2022.119403,"Data and code availability  statement  
Data used in the study are available  upon direct request.  Conditions  
for its sharing  involve  the formalisation  of a research  agreement.  The 
data and code sharing  adopted  by the authors  comply  with the require-  
ments of the funding  body or institute,  and with the institutional  ethics 
approval.  Parts of the data are conﬁdential  and additional  ethical ap- 
proval may be needed  for re-use.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(62342, 62371), match=' \nData and code availability '>","<re.Match object; span=(454, 492), match=' \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2021.118831,"Data and code availability  statements  
The data used in the manuscript  were newly acquired.  The data 
and simulation  codes for the present  study can be shared upon request  
by emailing  the Corresponding  Author (ruiliangbai@zju.edu.cn).  Data 
sharing  will require  a formal data sharing  agreement,  including  the co- 
authorship  of the Corresponding  Author.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(58355, 58384), match=' \nData and code availability '>","<re.Match object; span=(373, 419), match='  \nCredit authorship  contribution  statement '>"
10.1016/j.neuroimage.2022.119308,"Data and code availability  statement  
Finnish  data protection  laws do not allow for patient MEG data to 
be made publicly  available,  as the data cannot be fully anonymized.  
Data sharing  requires  an amendment  to the research  ethics permit 
via the hospital’s  ethics committee,  and a data transfer  agreement.  
Analysis  was carried out using standard  software  packages  as outlined  
in the methods  section.  Scripts used to produce  the results and ﬁg- 
ures presented  in the study are published  on the BioMag  Gitlab page 
(https://github.com/BioMag/dbs_pd_beta_burst).","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(51874, 51904), match='  \nData and code availability '>","<re.Match object; span=(593, 612), match='  \nEthics statement'>"
10.1016/S1053-8119(22)00043-X,Editorial board,,,
10.1016/j.neuroimage.2021.118792,"2.1. Data 
A subset of the Human  Connectome  Project (HCP) S900 release was 
used. Only subjects  who had voxel-level  fMRI data for all nine func- 
tional sessions  (two resting-states  and seven tasks) with left-right  phase- 
encoding  were included.  To alleviate  artifacts  caused by head motion,  
subjects  with mean frame-to-frame  displacement  > 0.1 mm or maximum  
frame-to-frame  displacement  > 0.15 mm were excluded.  The resulting  
dataset contains  493 subjects  (266 females,  age = 22–36 + , subject IDs 
listed in supplementary  material).  The preprocessing  procedures  were 
the same as described  in ( Salehi et al., 2020 ). We applied  the HCP mini- 
mal preprocessing  pipeline  ( Glasser  et al., 2013 ) which includes  artifact  
removal,  motion correction,  and registration  to MNI space. All further 
preprocessing  steps used BioimageSuite  ( Joshi et al., 2011 ), including  
regressing  24 motion parameters,  regressing  the mean time courses  of 
the white matter and cerebrospinal  ﬂuid, and the global signal, remov- 
ing the linear trend and low pass ﬁltering.",\n?2\.1\.,"<re.Match object; span=(11041, 11046), match='\n2.1.'>","<re.Match object; span=(1105, 1111), match='\n2.2. '>"
10.1016/j.neuroimage.2022.118890,"2.1. Datasets  overview  
We analyzed  functional  MRI and behavioral  data in 407 cognitively  
normal  older adults between  the ages of 65–85 years from three inde- 
pendent  cohorts.  These datasets  were from the publicly  available  Human  
Connectome  Project in Aging ( Bookheimer  et al., 2019 ; Harms et al., 
2018 ) (HCP-Aging)  and Cambridge  Centre for Ageing Neuroscience  
(Cam-CAN;  Shafto et al., 2014 ; Taylor et al., 2017 ) databases.  The 
third dataset,  Studying  Cognitive  and Neural Aging (SCAN;  Fountain-  
Zaragoza  et al., 2021 ), was acquired  by our group here at The Ohio 
State University,  Columbus,  OH. In the present  study, the HCP-Aging  
2  O. Gbadeyan,  J. Teng and R.S. Prakash NeuroImage  250 (2022) 118890 
was used as the primary  dataset for model derivation  and internal  val- 
idation.  Cam-CAN  and SCAN served as the validation  datasets  used to 
assess the generalizability  of the derived  models.",\n?2\.1\.,"<re.Match object; span=(14882, 14887), match='\n2.1.'>","<re.Match object; span=(954, 960), match='\n2.2. '>"
10.1016/j.neuroimage.2022.119339,"Data and code availability  statement  
The human adult and neonate  datasets  are available  at https://www.  
humanconnectome.org/  and https://www.developingconnectome.  
org , respectively.  The macaque  data are available  at http://fcon_1000.  
projects.nitrc.org/indi/indiPRIME.html  . For the macaque  data, subject 
IDs included  in the current  study are listed in Supplementary  Table S1, 
and the computed  network  results are available  at https://github.com/  
xiyu-bnu/neonate  _ tool _ network  . Moreover,  the codes for the cross- 
species alignment  are available  at https://github.com/TingsterX/  
alignment  _ macaque-human  . Due to HCP and dHCP privacy  policies,  the 
preprocessed  resting-state  images of human adults and neonates  (with 
their IDs) can only be shared upon request  with qualiﬁed  investigators  
who agree to the Restricted  Data Use Terms of these two datasets.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(62052, 62081), match=' \nData and code availability '>","<re.Match object; span=(911, 950), match='  \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2022.119295,"Introduction  
Real-time  functional  magnetic  resonance  imaging  (RT-fMRI)  is an 
emerging  technology  that holds tremendous  promise  for breakthroughs  
in basic science  and clinical  applications.  In contrast  to traditional,  of- 
ﬂine fMRI analysis,  RT-fMRI  involves  analyzing  data while participants  
are still in the scanner,  giving experimenters  the ability to modify the 
stimuli or tasks that they present  as a function  of the participant’s  mea- 
sured neural state. RT-fMRI  can be used in neurofeedback  designs,  in 
which participants  are given feedback  on how well they are instantiat-  
ing a target brain state, and they use this information  to learn how to 
better instantiate  that state (for a historical  review of fMRI neurofeed-  
back, see Linden et al., 2021 ; this review is part of a recent textbook  
on fMRI neurofeedback  edited by Hampson,  2021 ). In another  use of 
RT-fMRI,  stimuli are modiﬁed  as a function  of brain activation,  but par- 
∗ Corresponding  author. 
E-mail address: knorman@princeton.edu  (K.A. Norman)  . ticipants  are not explicitly  given the goal of maximizing  the goodness  of 
their brain state; for example,  in a triggering  design, the results of the 
fMRI analysis  are used to determine  when stimuli are presented  (e.g., 
Yoo et al., 2012 ). RT-fMRI  reverses  the typical logic of fMRI –instead  of 
viewing  the fMRI measurements  as a dependent  variable  (i.e., looking  at 
the eﬀects of a task manipulation  on fMRI), the fMRI measurements  can 
be viewed  as the independent  variable  (i.e., you can look at the eﬀect of 
instantiating  a particular  neural pattern  on other behavioral  and neural 
measurements;  Turk-Browne,  2021 ). 
Previous  RT-fMRI  studies have led to a wide range of interesting  dis- 
coveries  in healthy  participants.  For instance,  participants  given neu- 
rofeedback  from the ventral tegmental  area (VTA) while they thought  
about personalized  motivational  states were able to learn to upregulate  
VTA activity;  this increase  in the ability to upregulate  VTA activity  per- 
sisted after the end of neurofeedback  training  ( MacInnes  et al., 2016 ). 
https://doi.org/10.1016/j.neuroimage.2022.119295  . 
Received  26 January  2022; Accepted  9 May 2022 
Available  online 14 May 202",\n?Introduction\s*?\n? | \s*?\n?1\.\s*?\n? ,"<re.Match object; span=(2573, 2587), match='\nIntroduction '>","<re.Match object; span=(2325, 2328), match='2. '>"
10.1016/j.neuroimage.2022.119582,"Data and code availability  statement  
The experimental  materials,  data, and processing  scripts are avail- 
able at https://osf.io/2v9je/?view_only  = 48dﬀc0531ce435ba205bf-  
64822c6f93","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(70362, 70391), match=' \nData and code availability '>","<re.Match object; span=(192, 203), match='  \nFunding '>"
10.1016/j.neuroimage.2022.119008,"2.1. Multiple-Mouse  MRI setup 
Experiments  were performed  on a 7-Tesla  306-mm  horizontal  bore 
magnet  (BioSpec  70/30 USR, Bruker,  Ettlingen,  Germany)  with Avance  
III HD electronics  and ParaVision  6.0.1 console  software.  The system 
was equipped  with a BGA-20S  water-cooled  gradient  system with 200.5 
mm inner diameter,  300 mT/m maximum  amplitude,  and 1000 T/m/s 
maximum  slew rate. The instrument  was equipped  with four CryoProbes  
suitable  for mouse head imaging  (RF CP F2.5 300 1H 56/20, Bruker,  
Ettlingen,  Germany).  Each probe consists  of a double-loop  surface coil 
mounted  on a 20-mm inner diameter  half-shell  (superior  to the mouse’s  
head) and operated  in quadrature  as a two-channel  array in trans- 
mit/receive  mode. The spectrometer  electronics  are equipped  with two 
transmit  and 16 receive  channels  (8 of which are required  for operation  
of the CryoProbes).  For the data in this paper, the four coils (with two 
channels  each) were connected  to eight independent  receivers  and to a 
single radiofrequency  transmit  channel  and ampliﬁer  through  an 8-way 
splitter (with appropriate  phase shifts for quadrature  operation  of each 
probe).  
2  A. Arbabi, L. Spencer Noakes, D. Vousden et al. NeuroImage  252 (2022) 119008 
Fig. 1. Multiple-mouse  MRI implementation  with CryoProbes.  (A) A Bruker 70/30 USR magnet was equipped  with four CryoProbes  mounted  on a 2 ×2 square 
frame. A photo of the setup is provided  in (A). A rendering  showing  the placement  of the coils in the bore is provided  in (B). Four mouse beds constructed  using 3D 
printed parts were fabricated  and are pictured  on the table in (A) and rendered  in detail in (C). At run time, an initial pilot image is generated  covering  all four coils. 
Scan prescription  for multiple-mouse  images is achieved  by generation  of a primary  ﬁeld-of-view  (blue, D), with secondary  ﬁelds of view constrained  by coil array 
geometry  (green, D).",\n?2\.1\.,"<re.Match object; span=(12057, 12062), match='\n2.1.'>","<re.Match object; span=(1997, 2003), match='\n2.2. '>"
10.1016/j.neuroimage.2022.119698,"Data availability  
The data and codes that support  the ﬁndings  of this study 
are openly available  in OSF at https://osf.io/kuxqt/  , DOI: 
10.17605/OSF.IO/KUXQT  .","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(56773, 56793), match=' \nData availability '>","<re.Match object; span=(170, 208), match=' \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2022.119118,"2.1. Participants  
We included  UK Biobank  participants  that completed  a Magnetic  
Resonance  Imaging  (MRI) (N ≃41,000).  In brief, the UK Biobank  is 
an open-access  large prospective  study with phenotypic,  genotypic,  
and neuroimaging  data that includes  500 000 participants  recruited  
between  2006 and 2011 at 40 to 69 years old in Great Britain 
( Sudlow  et al., 2015 ). All participants  provided  informed  consent  ( “Re- 
sources  tab ”at https://biobank.ctsu.ox.ac.uk/crystal/ﬁeld.cgi?id  = 200 ). 
The UK Biobank  received  ethical approval  from the Research  Ethics 
Committee  (reference  11/NW/0382)  and the present  study was con- 
ducted under application  46 007. 
The neuroimaging  phenotypes  in this study correspond  to volumes,  
mean thicknesses,  surface areas from the ﬁrst imaging  visit (Instance  
2) and were generated  by an image-processing  pipeline  developed  and 
run by the UK Biobank  Imaging  team ( Alfaro-Almagro  et al., 2018 ; 
Miller et al., 2016 ). 
2.1.1. Brain image acquisition  and processing  
A standard  Siemens  Skyra 3T running  VD13A  SP4 with a standard  
Siemens  32-channel  RF receive  head coil was used to collect data ( Brain 
Scan Protocol  ). The 3D MPRAGE  T1-weighted  volumes  were analyzed  
by the UK Biobank  Imaging  team with pipeline  scripts that primarily  
call for FSL and Freesurfer  tools. Details of the acquisition  protocols,  
image processing  pipeline,  image data ﬁles, and derived  measures  of 
brain structure  and function  are available  in the UK Biobank  Imaging  
Protocols  . 
2.1.2. Total brain volume (TBV) 
TBV was calculated  as the sum of the following  ASEG segmentation:  
Cerebellum  GMV (Left: 26,557,  Right: 26,588),  Cerebral  GMV (Left: 
26,552,  Right: 26,583),  Cerebellum  WMV (Left: 26,556,  Right: 26,587),  
Cerebral  WMV (Left: 26,553,  Right: 26,584),  and the total subcortical  
volume  we calculated  with the ASEG and Freesurfer  subﬁelds.  Refer to 
Supplemental  Section  1 for details on the choice of TBV. We excluded  
individuals  with missing  data in these regions,  yielding  40 055 partici-  
pants. 
2.1.3. Scanner  site 
The age and sex of participants  diﬀered  across the 3 scanner  sites 
located  in Cheadle  (Site 11,025),  Reading  (Site 11,026),  and Newcastle  
(Site 11,027;  Supplemental  Section  2). One individual  without  scanner  
site location  was removed  from the analyses,  yielding  40 054 partici-  
pants. 
2.1.4. Sex 
Participants  who did not self-report  as male or female or whose self- 
reported  sex and genetic  sex diﬀered  were also excluded  from the anal- 
yses ( N = 26). When genetic  sex was not available,  reported  sex was 
used to deﬁne the sex of the participant.  Of the 40 028 participants  in- 
cluded in the analyses,  there were more females  ( N = 21 142) than males 
( N = 18 886, 𝜒2 (1) = 127.15,  p < 2.2e-16).  
2.1.5. Age 
To obtain a continuous  measure  of age, age was calculated  based on 
the year and month of birth of the participant  and the day, month,  and 
year of their MRI visit. The mean age was 64.13 years old ( SD = 7.54). 
Males ( M = 64.81 years, SD = 7.64) were older than females  ( M = 63.51 
years, SD = 7.39, t (39,186) = 17.17, p < 2.2e-16).  
2.1.6. Handedness  
Handedness  was measured  with a multiple-choice  self-report  ques- 
tion ""Are you right or left-handed?""  (data ﬁeld 1707). The age and sex of 
participants  diﬀered  between  Right-handed  ( N = 35,596),  Left-handed  
2  C.M. Williams,  H. Peyre, R. Toro et al. NeuroImage  254 (2022) 119118 
( N = 3711), and ambidextrous  ( N = 547) individuals  (Supplemental  Sec- 
tion 3). Participants  without  handedness  data ( N = 174) were excluded  
from the analyses  in Q4.",\n?2\.1\.,"<re.Match object; span=(9606, 9611), match='\n2.1.'>","<re.Match object; span=(3767, 3773), match='\n2.2. '>"
10.1016/j.neuroimage.2022.119191,"Data and code availability  statement  
The data used in this study was collected  with the written  informed  
consent  of the participants,  who agreed to data use as described  in this 
statement  and in accordance  with the guidelines  of the Internal  Review  
Board (IRB). Sharing  of this data, with protections  to ensure participant  
anonymity,  can in principle  be accomodated  upon request.  However,  it 
is not currently  available  in any publically  accessible  source. 
The gluCEST  sequence  used in this study is available  upon request  
from researchers  at the Center for Advanced  Metabolic  Imaging  in Pre- 
cision Medicine  (CAMIPM).  It is for the Siemens  Magnetom  7T scanner.  
The MATLAB  code used for post-processing  of gluCEST  data is 
as described  in Cember  et al., NMR in Biomedicine  2021. DOI 
10.1002/nbm.4503  and references  therein.  It is not yet in a very user- 
friendly  form, but is available  upon request  to any parties interested  in 
collecting  gluCEST  data. 
Should you be interested  in receiving  the data, MRI sequence  (s) or 
post-processing  code used in this study, please contact  the corresponding  
author at cember@pennmedicine.upenn.edu","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(40973, 41002), match=' \nData and code availability '>","<re.Match object; span=(1210, 1229), match='  \nAcknowledgments '>"
10.1016/j.neuroimage.2022.119416,"2.1. Participants  
40 participants  (age 18-33 years (mean ± SD = 21 ± 3 years)) were 
recruited  to this study, and included  19 females  and 21 males. All self- 
reported  normal  or corrected-to-normal  vision, normal  hearing,  and no 
history of neurologic  disorder.  Visual acuity was not explicitly  tested. 
However,  those participants  who did not report normal  uncorrected  vi- 
sion (i.e. those who wore glasses),  were ﬁtted with low-reﬂection  eye- 
tracker compatible  lenses from a set of interchangeable  correction  lenses 
(range of correction  + 2 diopters  to + 7 diopters  in 1 
2 diopter  increments),  
such that they reported  being able to clearly discern  the sharp borders  
of the Kanizsa  ﬁgures.  All experimental  procedures  were approved  by 
the institutional  review board of the University  of Rochester  Medical  
Center.  Written  informed  consent  was obtained  from all participants,  
and they were modestly  compensated  for their time in the laboratory  
($15/hour).",\n?2\.1\.,"<re.Match object; span=(13243, 13248), match='\n2.1.'>","<re.Match object; span=(1017, 1023), match='\n2.2. '>"
10.1016/j.neuroimage.2022.119642,"Data and code availability  statement  
Data presented  in this manuscript  have been uploaded  to the osf link 
shown above, along with code required  to reproduce  the spectrogram  
in Fig. 1 . Data or other codes are also available  from the corresponding  
author upon reasonable  request.  
Data availability  
Data will be made available  on request.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(12907, 12935), match=' Data and code availability '>","<re.Match object; span=(357, 377), match='  \nAcknowledgements '>"
10.1016/j.neuroimage.2021.118765,"2.1. Sample 
Participants  included  children  and adolescents  aged 8 to 16 who 
were recruited  through  elementary  and secondary  schools  as part of the 
Brock Healthy  Youth Project (BHYP).  Parents  identiﬁed  whether  their 
child had any illnesses  or disabilities  (either physical  or mental).  Two 
participants  were excluded  because  of a diagnosis  of autism,  one partic- 
ipant was excluded  because  of a history of seizures,  and one participant  
was excluded  because  of a diagnosis  of cerebral  palsy. The ﬁnal sample 
included  467 participants  who were recruited  for the ﬁrst wave of data 
collection  and completed  the EEG session.  Participants  were excluded  
from the analyses  due to recording  issues with or excessive  artifact  iden- 
tiﬁed during pre-processing  ( n = 33 for GO trials, n = 30 NOGO trials). 
Additional  participants  were removed  due to extreme  values for theta 
power ( n = 2 for GO trials, n = 5 for NOGO trials). The ﬁnal sample re- 
sulted in 432 participants  (224 females,  208 males - See Supplementary  
materials  for a summary  of main ﬁndings  for males and females).  
Fig. 1. Kernel density distribution  of single trial ISI durations  across all partic- 
ipants.",\n?2\.1\.,"<re.Match object; span=(8910, 8915), match='\n2.1.'>","<re.Match object; span=(1238, 1244), match='\n2.2. '>"
10.1016/j.neuroimage.2022.118972,"Data/code  availability  statement  
MRI images can be downloaded  from HCP website:  https://www.  
humanconnectome.org/  
The tool we used for analyzing  the data can be downloaded  
from: 
rsHRF: https://www.nitrc.org/projects/rshrf  
PhysIO Toolbox:  https://www.nitrc.org/projects/physio/  
Circos table viewer:  http://mkweb.bcgsc.ca/tableviewer/visualize/","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(20717, 20741), match=' Data/code  availability'>","<re.Match object; span=(363, 368), match='  3. '>"
10.1016/j.neuroimage.2022.119135,"Data availability  
The data sets generated  and analysed  during the current  
study are available  on OpenNeuro:  https://openneuro.org/datasets/  
ds003959/versions/1.0.1  . 
Code availability  
SANDI code is available  on GitHub  at https://github.com/  
palombom  .","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(36805, 36826), match='  \nData availability '>","<re.Match object; span=(273, 318), match=' \nCredit authorship  contribution  statement '>"
