Material_URL,Number of articles containing URL,Percentage of articles containing URL
nitrc.org/projects/tmbta_2019,1,0.3
osf.io/72w38,1,0.3
osf.io/7kqvh,1,0.3
osf.io/4rmex/?view_only,1,0.3
openneuro.org/datasets/ds004033,1,0.3
openneuro.org/datasets/ds003959/versions/1.0.1,1,0.3
openneuro.org/datasets/ds004097,1,0.3
openneuro.org/datasets/ds003745,1,0.3
osf.io/d3nkc,1,0.3
osf.io/2vw6j,1,0.3
openneuro.org/datasets/ds003673,1,0.3
osf.io/3s89p,1,0.3
openneuro.org/datasets/ds003401/versions/1.0.1,1,0.3
osf.io/4q3tz,1,0.3
osf.io/5fmpk/?view_only,1,0.3
openneuro.org/datasets/ds004056,1,0.3
openneuro.org/datasets/ds003171/versions/1.0.0,1,0.3
osf.io/5mqpb,1,0.3
openneuro.org/datasets/ds003059/versions/1.0.0,1,0.3
osf.io/67wpg,1,0.3
osf.io/6jm2r,1,0.3
openneuro.org/datasets/ds000224/versions/1.0.3,1,0.3
osf.io/6waj9/?view_only,1,0.3
osf.io/6ykqh,1,0.3
openneuro.org/datasets/ds000224/versions/00002,1,0.3
osf.io/72ebd,1,0.3
osf.io/cx8a9,1,0.3
osf.io/m3p7t,1,0.3
osf.io/db9u4,1,0.3
portal.nersc.gov/project/crcns/download/v1v2-1,1,0.3
protocols.humanconnectome.org/hcp/7t,1,0.3
progressivemsalliance.org,1,0.3
preprocessed-connectomes-project.org/adhd200,1,0.3
preprocessed-connectomes-project.org/abide/index.html,1,0.3
preprocessed-connectomes-project.org/abide,1,0.3
preprocessed-connectomes-project.org,1,0.3
portal.dementiasplatform.uk/analysedata/analysisenvironment,1,0.3
osf.io/ecvq8,1,0.3
photo-ac.com,1,0.3
phi-group.top/resources.html,1,0.3
paris-saclay-cds.github.io/autism_challenge,1,0.3
osf.io/zp6kv,1,0.3
osf.io/zcahs,1,0.3
osf.io/zaef2,1,0.3
qmenta.com/irontract-challenge,1,0.3
search.kg.ebrains.eu,1,0.3
search.kg.ebrains.eu/instances/cd4c0231-f9d6-4964-9763-54347029dd00,1,0.3
sites.google.com/view/calgary-campinas-dataset/hypothalamus-benchmark,1,0.3
sites.google.com/view/pinstudy,1,0.3
sleepdata.org,1,0.3
solar-eclipse-genetics.org/index.html,1,0.3
adni.loni.usc.edu/about,1,0.3
synapse.org,1,0.3
things-initiative.org,1,0.3
tinyurl.com/pereiraneuroimage,1,0.3
ukserp.ac.uk,1,0.3
unicore.eu,1,0.3
uniklinikum-leipzig.de/einrichtungen/life,1,0.3
userpage.fu-berlin.de/rmcichy/fusion_project_page/main.html,1,0.3
wiki.humanconnectome.org/display/publicdata/how+to+connect+to+connectome+data+via+aws,1,0.3
zenodo.org/record/5053234,1,0.3
osf.io/z83mw/?view_only,1,0.3
osf.io/yzhbk,1,0.3
osf.io/yfms7,1,0.3
osf.io/pcvt5,1,0.3
osf.io/eucqf,1,0.3
osf.io/eufd6,1,0.3
osf.io/fm7cq/?view_only,1,0.3
osf.io/fsqaj,1,0.3
osf.io/g3wkq,1,0.3
osf.io/gazx2,1,0.3
osf.io/hvknp,1,0.3
osf.io/jkcys,1,0.3
osf.io/k3xce,1,0.3
osf.io/kuxqt,1,0.3
osf.io/mv47n,1,0.3
osf.io/mx49d,1,0.3
osf.io/n2cez,1,0.3
osf.io/nhtur,1,0.3
osf.io/psv5m,1,0.3
osf.io/y6rc3,1,0.3
osf.io/q9s5k,1,0.3
osf.io/qgdn9/declaration,1,0.3
osf.io/rmhpe,1,0.3
osf.io/s4ydx,1,0.3
osf.io/snq2d,1,0.3
osf.io/tk3mr,1,0.3
osf.io/tsz47,1,0.3
osf.io/u7sbf,1,0.3
osf.io/v9px7,1,0.3
osf.io/vybwm,1,0.3
osf.io/w9vte,1,0.3
osf.io/wh4ua,1,0.3
osf.io/y3k5f,1,0.3
osf.io/y6kmg,1,0.3
nitrc.org/projects/sigma_template,1,0.3
balsa.wustl.edu/study/7qmqx,1,0.3
nitrc.org/projects/biggaba,1,0.3
developingconnectome.org/project,1,0.3
drcmr.dk/powder-averaging-dataset,1,0.3
dropbox.com/sh/3w4aeizgypfs7sd/aab-w8yn5qdufebj90wksbqaa?dl,1,0.3
dropbox.com/sh/tb694nmpu2lbpnc/aabku,1,0.3
drum.lib.umd.edu,1,0.3
eegstudy.org,1,0.3
en.wikipedia.org/wiki/point_spread_function,1,0.3
exp.lobi.nencki.gov.pl,1,0.3
exp.lobi.nencki.gov.pl/nawl-analysis,1,0.3
fcon_1000.projects.nitrc.org/indi/abide,1,0.3
fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/index.html,1,0.3
fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html,1,0.3
fcon_1000.projects.nitrc.org/indi/enhanced/neurodata.html,1,0.3
fcon_1000.projects.nitrc.org/indi/indiprime.html,1,0.3
fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html,1,0.3
francismanno.github.io/fmanno,1,0.3
fsl.fmrib.ox.ac.uk/fsl/fslwiki/atlases,1,0.3
fsl.fmrib.ox.ac.uk/fsl/fslwiki/fsl_anat,1,0.3
fz-juelich.de/inm/inm-1/jugex),1,0.3
gaain.org,1,0.3
gin.g-node.org/g-node,1,0.3
github.com/annesaulin/complex_motivations,1,0.3
github.com/bmhlab/dicer.git,1,0.3
github.com/brain-networks/edge-ts,1,0.3
github.com/brainmodes/review_dynamicprimitives,1,0.3
github.com/cirmuw/functional-twin-analysis,1,0.3
github.com/datalad-datasets/human-connectome-project-openaccess,1,0.3
github.com/delislab,1,0.3
github.com/delshadv,1,0.3
github.com/delshadv/mri_meg_combination,1,0.3
diedrichsenlab.org/imaging/suit.htm,1,0.3
data.mendeley.com,1,0.3
nist.gov/programs-projects/quantitative-mri,1,0.3
data.donders.ru.nl/login,1,0.3
bicr-resource.atr.jp/srpbsts,1,0.3
bigbrain.loris.ca,1,0.3
biobank.ctsu.ox.ac.uk,1,0.3
brain-development.org,1,0.3
brain-map.org,1,0.3
brain.labsolver.org/diﬀusion-mri-templates/hcp-842-hcp-1021,1,0.3
brainclinics.com/resources,1,0.3
braindecode.org,1,0.3
brainlife.io/apps,1,0.3
brainlife.io/datasets,1,0.3
brainnetome.org,1,0.3
brainsimagebank.ac.uk,1,0.3
brainspan.org/static/download.html,1,0.3
central.xnat.org,1,0.3
chd.ucsd.edu/research/ping-study.html,1,0.3
childmind.org,1,0.3
chimpanzeebrain.org,1,0.3
civmvoxport.vm.duke.edu,1,0.3
balsa.wustl.edu/study/7,1,0.3
cloudstor.aarnet.edu.au/plus/s/x70whj2pzl3tmn4,1,0.3
cncorpus.org,1,0.3
cnda.wustl.edu/app/template/login,1,0.3
codalab.lisn.upsaclay.fr/competitions/7583,1,0.3
connectomeproject.org/data/hcp-project,1,0.3
crcns.org,1,0.3
crcns.org/data-sets/pfc/pfc-5/about-pfc-5,1,0.3
dandiarchive.org,1,0.3
dandiarchive.org/dandiset/000244,1,0.3
data.developingconnectome.org/structural,1,0.3
github.com/frdarya/learningrate,1,0.3
github.com/hhonar/mdapproach_ps.git,1,0.3
github.com/honglabthu/mi-bci,1,0.3
github.com/jbrown81/gradients,1,0.3
kaggle.com/competitions/eeg-biometric-competition/data,1,0.3
kg.ebrains.eu,1,0.3
knightadrc.wustl.edu/research/resourcerequest.htm,1,0.3
litteratureaudio.com,1,0.3
macc.sg,1,0.3
marmosetbrainconnectome.org,1,0.3
marmosetbrainconnectome.org/download.html,1,0.3
massive-data.org,1,0.3
meguk.ac.uk/contact,1,0.3
memory.psych.upenn.edu/data,1,0.3
mlsp.umbc.edu/simulated_fmri_data.html,1,0.3
mouse.brain-map.org/agea,1,0.3
mrc.ukri.org/research/policies-and-guidance-for-researchers/data-sharing,1,0.3
adni.loni.usc.edu/methods/pet-analysis-method/pet-analysis,1,0.3
naturalscenesdataset.org,1,0.3
ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id,1,0.3
ncfwp.org,1,0.3
balsa.wustl.edu/study/show/mdbp0,1,0.3
nda.nih.gov/ccf/lifespan-studies,1,0.3
nda.nih.gov/general-query.html?q,1,0.3
neuromorpho.org,1,0.3
neurostars.org/t/multi-echo-anatomical-mri-bids-questions/17157,1,0.3
neurovault.org/collections/11009,1,0.3
neurovault.org/collections/12205,1,0.3
neurovault.org/collections/1952,1,0.3
neurovault.org/collections/5879,1,0.3
neurovault.org/collections/9212,1,0.3
neurovault.org/images/1401,1,0.3
nifti.nimh.nih.gov,1,0.3
kaggle.com/competitions/eeg-biometric-competition,1,0.3
ieeg.org,1,0.3
ideas-study.org/original-study/data-request,1,0.3
github.com/thomasyeolab/ooi2022_mmp_hcp,1,0.3
github.com/jessie-mosso/dwmrs-mppca,1,0.3
github.com/mathesong/simba_materials,1,0.3
github.com/miclab-unicamp/hypast,1,0.3
github.com/netneurolab/hansen_gene-receptor,1,0.3
github.com/neuroa,1,0.3
github.com/nichalas,1,0.3
github.com/plus-microstate/toolbox,1,0.3
github.com/quantitative-mri-and-in-vivo-histology/ls_axon_segmentation,1,0.3
github.com/raj-lab-ucsf,1,0.3
github.com/raj-lab-ucsf/spectrome-revisited,1,0.3
github.com/rhyang2021/data-code4tvgcsdn,1,0.3
github.com/ruikechen/fetal-brain-dmri-atlas,1,0.3
github.com/sunlianglong/structural-insight-into-individual-functional-variability,1,0.3
gwas.mrcieu.ac.uk,1,0.3
ideas-study.org/original-study,1,0.3
habs.mgh.harvard.edu,1,0.3
hdl.handle.net/11633/di.dccn.dsc_3011020.09_236,1,0.3
headit.ucsd.edu,1,0.3
human.brain-map.org/static/download,1,0.3
ausnc.org.au/corpora/ice),1,0.3
humanconnectome.org/data,1,0.3
humanconnectome.org/disease-studies,1,0.3
humanconnectome.org/study/hcp-lifespan-aging,1,0.3
humanconnectome.org/study/hcp-lifespan-aging/data-releases,1,0.3
humanconnectome.org/study/hcp-lifespan-aging/page/recruitment,1,0.3
humanconnectome.org/study/hcp-young-adult/data-releases,1,0.3
humanconnectome.org/study/hcp-young-adult/document/500-subjects-data-release,1,0.3
humanconnectome.org/study/hcp-young-adult/document/extensively-processed-fmri-data-documentation,1,0.3
mrshub.org,1,0.3
